timestamp,iterations,solutions,solver_checks,solver_time
1675777888.595939,257,255,1426,60846.88532328606
1675777945.7769592,258,256,1427,60904.04356980324
1675778167.770563,259,257,1429,61126.01388025284
1675778225.557483,260,258,1441,61183.761211395264
1675778328.4851444,261,259,1448,61286.65782594681
1675778548.5953894,262,260,1482,61506.64386987686
1675778589.0413067,263,261,1486,61547.06715583801
1675778766.936056,264,262,1490,61724.93783950806
1675779467.988961,265,263,1506,62425.93314290047
1675779610.6086001,266,264,1510,62568.53082990646
1675780113.3429728,267,265,1519,63071.22680258751
1675780202.3452945,268,266,1530,63160.1854364872
1675780330.026475,269,267,1534,63287.8402159214
1675780440.516265,270,268,1535,63398.31154155731
1675780586.4749105,271,269,1544,63544.24555325508
1675780682.676769,272,270,1545,63640.428896427155
1675780888.912906,273,271,1560,63846.62404584885
1675781014.696942,274,272,1561,63972.39007472992
1675781106.115566,275,273,1570,64063.781991004944
1675781148.8700762,276,274,1571,64106.518089056015
1675781884.1520655,277,275,1584,64841.75213432312
1675781981.4784267,278,276,1585,64939.056898117065
1675782073.0647345,279,277,1586,65030.621243953705
1675782158.3196385,280,278,1587,65115.85580301285
1675782298.6108308,281,279,1588,65256.12636208534
1675783542.2624702,282,280,1589,66499.75730371475
1675783657.978362,283,281,1592,66615.4537551403
1675783719.7839882,284,282,1611,66677.19908118248
1675783887.5098827,285,283,1615,66844.89538812637
1675783925.2940478,286,284,1616,66882.66365623474
1675784696.1897163,287,285,1630,67653.5226752758
1675784738.4439933,288,286,1631,67695.76057457924
1675785401.6631181,289,287,1641,68358.94203186035
1675785454.8840845,290,288,1642,68412.15140581131
1675785702.1211138,291,289,1656,68659.36009049416
1675785769.0520318,292,290,1657,68726.27497649193
1675786163.6820765,293,291,1666,69120.87075519562
1675786191.477739,294,292,1670,69148.64522051811
1675786293.2088685,295,293,1671,69250.36539959908
1675786344.8775396,296,294,1685,69302.00581669807
1675786388.2362792,297,295,1686,69345.34974455833
1675786589.9211373,298,296,1696,69547.00073647499
1675786624.3955548,299,297,1697,69581.46011304855
1675786998.8726585,300,298,1711,69955.90724635124
1675787095.352097,301,299,1712,70052.37123417854
1675787512.0084038,302,300,1721,70468.9927072525
1675787648.895904,303,301,1725,70605.86354279518
1675787696.4640226,304,302,1726,70653.41545939445
1675787751.9953887,305,303,1740,70708.91748023033
1675787823.0725856,306,304,1741,70779.98295021057
1675788060.8567157,307,305,1751,71017.73272037506
1675788100.756279,308,306,1752,71057.6185040474
1675788165.515953,309,307,1766,71122.35614299774
1675788219.1756916,310,308,1767,71175.99978685379
1675788732.674854,311,309,1776,71689.46716499329
1675788794.6003006,312,310,1780,71751.3723154068
1675788915.9013705,313,311,1781,71872.65640377998
1675789098.9060798,314,312,1795,72055.63097882271
1675789205.3014681,315,313,1796,72162.0068397522
1675789462.9486904,316,314,1806,72419.60959005356
1675789624.7388523,317,315,1807,72581.37975764275
1675790554.2243528,318,316,1821,73510.80807709694
1675790704.4616446,319,317,1822,73661.02356147766
1675791759.8318024,320,318,1831,74716.34072947502
1675791980.2524476,321,319,1835,74936.73384356499
1675792053.9523969,322,320,1836,75010.40935277939
1675792155.0101783,323,321,1840,75111.44461274147
1675792208.5778153,324,322,1841,75164.99179148674
1675792306.148184,325,323,1861,75262.49865055084
1675792436.7935898,326,324,1862,75393.12449455261
1675792570.0854657,327,325,1876,75526.37762141228
1675792874.3065336,328,326,1877,75830.57979130745
1675794065.9519918,329,327,1886,77022.17051053047
1675794114.0381284,330,328,1887,77070.23675441742
1675794156.7853193,331,329,1888,77112.96376538277
1675794236.175718,332,330,1889,77192.33825206757
1675794277.1512315,333,331,1890,77233.29838585854
1675794347.6001232,334,332,1891,77303.73188376427
1675794395.4578238,335,333,1892,77351.57435750961
1675794460.6622083,336,334,1893,77416.76316666603
1675794592.0778248,337,335,1895,77548.15782237053
1675794722.3652086,338,336,1896,77678.4253628254
1675794785.6373644,339,337,1897,77741.67763137817
1675794861.4128592,340,338,1898,77817.43267655373
1675794977.6496756,341,339,1899,77933.64889931679
1675795107.408192,342,340,1900,78063.38732409477
1675795169.729268,343,341,1901,78125.68867492676
1675795204.4622493,344,342,1902,78160.4065182209
1675795285.9758596,345,343,1906,78241.90780591965
1675795391.4588153,346,344,1907,78347.37306928635
1675795488.7862349,347,345,1919,78444.67805695534
